                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7972,                 1.9185,                 1.2926,                0.60328,                0.57891,                0.59006,                0.25572,                 1.8917,                 1.6001,                 1.3553,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.8399,                 1.6586,                  1.327,                0.58174,                0.56173,                0.55437,                0.22884,                 1.9451,                 1.6259,                 1.3651,              0.0066419,              0.0066419,              0.0066419
                      3,                 1.9199,                 1.7499,                 1.3753,                0.54099,                0.50222,                0.48946,                0.17852,                 2.0912,                 1.7926,                 1.4485,              0.0099312,              0.0099312,              0.0099312
                      4,                 2.0143,                 1.8927,                 1.4361,                0.54354,                0.47848,                0.48241,                0.19689,                 1.9242,                 1.8034,                 1.3972,               0.009901,               0.009901,               0.009901
                      5,                 2.0202,                 1.8998,                 1.4432,                0.57359,                    0.5,                0.52418,                0.22434,                 1.9277,                  1.748,                 1.4148,               0.009901,               0.009901,               0.009901
                      6,                   2.02,                 1.9049,                 1.4497,                0.57974,                0.50646,                0.52605,                0.22599,                 1.9146,                 1.7426,                 1.4276,               0.009868,               0.009868,               0.009868
                      7,                 2.0263,                 1.9055,                 1.4473,                0.55617,                0.49172,                0.49458,                0.20148,                 1.9133,                  1.794,                 1.4045,               0.009835,               0.009835,               0.009835
                      8,                 2.0242,                 1.9105,                 1.4576,                0.58661,                0.50215,                0.53174,                0.22691,                 1.8845,                 1.7196,                 1.4073,               0.009802,               0.009802,               0.009802
                      9,                 2.0173,                 1.8906,                 1.4489,                0.58862,                 0.5165,                0.53367,                0.22472,                 1.9526,                 1.7246,                 1.4346,               0.009769,               0.009769,               0.009769
                     10,                 2.0145,                 1.8893,                 1.4472,                0.57334,                0.46341,                 0.4707,                0.18552,                 1.9515,                 1.8311,                 1.4051,               0.009736,               0.009736,               0.009736
                     11,                 2.0189,                 1.8886,                 1.4482,                0.55314,                0.51076,                0.50072,                0.21876,                 1.8843,                  1.706,                  1.413,               0.009703,               0.009703,               0.009703
                     12,                 2.0185,                 1.8826,                 1.4449,                0.57151,                 0.5208,                0.51317,                0.21414,                 1.8896,                  1.729,                 1.4124,                0.00967,                0.00967,                0.00967
