                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1187,                 2.4704,                 1.7651,                0.50469,                0.40961,                0.41922,                0.17575,                 1.9099,                  1.914,                   1.57,              0.0033308,              0.0033308,              0.0033308
                      2,                 2.0726,                 2.1559,                 1.6592,                 0.4468,                0.35227,                0.33979,                0.13224,                 1.9984,                 2.1572,                 1.6248,              0.0066575,              0.0066575,              0.0066575
                      3,                 2.1856,                 2.3398,                 1.7372,                 0.3889,                0.32568,                0.30111,                0.11537,                 2.1027,                 2.2852,                 1.6675,              0.0099777,              0.0099777,              0.0099777
                      4,                 2.2215,                 2.4143,                 1.7773,                0.47359,                0.38142,                0.34943,                0.12211,                 2.0375,                 2.1707,                 1.6632,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.1538,                 2.2932,                 1.7309,                0.40264,                0.36298,                0.30265,                 0.1236,                 1.9869,                  2.181,                 1.6388,              0.0099703,              0.0099703,              0.0099703
                      6,                 2.1273,                 2.2056,                 1.7048,                0.47582,                0.42912,                0.38623,                0.14256,                 1.9687,                 2.1782,                 1.5478,              0.0099604,              0.0099604,              0.0099604
                      7,                 2.0778,                 2.1198,                 1.6742,                0.48991,                0.41248,                0.41018,                 0.1651,                 1.9255,                 1.9439,                 1.5013,              0.0099505,              0.0099505,              0.0099505
                      8,                 2.0564,                 2.0734,                 1.6567,                0.57915,                0.43544,                  0.466,                0.19574,                 1.8945,                 1.8843,                  1.504,              0.0099406,              0.0099406,              0.0099406
                      9,                 2.0423,                 2.0269,                 1.6362,                0.51488,                0.44769,                0.41036,                0.16903,                 1.9274,                 1.8701,                 1.5389,              0.0099307,              0.0099307,              0.0099307
                     10,                 2.0114,                 1.9874,                 1.6254,                0.57661,                0.48996,                 0.4936,                0.20702,                 1.8928,                 1.7785,                 1.5361,              0.0099208,              0.0099208,              0.0099208
                     11,                 2.0042,                 1.9661,                  1.619,                0.61619,                 0.4791,                0.52826,                0.21965,                 1.8544,                 1.7345,                 1.5112,              0.0099109,              0.0099109,              0.0099109
                     12,                 1.9907,                 1.9413,                 1.6108,                0.54538,                 0.4505,                0.48688,                0.20728,                 1.8222,                 1.7844,                 1.4903,               0.009901,               0.009901,               0.009901
                     13,                  1.981,                 1.9161,                 1.5974,                0.61661,                0.49641,                 0.5308,                0.23304,                 1.8439,                 1.6877,                  1.491,              0.0098911,              0.0098911,              0.0098911
                     14,                 1.9642,                 1.9027,                 1.5864,                0.58132,                0.52582,                0.53262,                0.23573,                 1.8354,                 1.6618,                 1.4934,              0.0098812,              0.0098812,              0.0098812
                     15,                  1.958,                 1.8732,                 1.5808,                0.65773,                0.52798,                 0.5871,                0.25543,                  1.813,                 1.6054,                 1.4763,              0.0098713,              0.0098713,              0.0098713
                     16,                 1.9441,                 1.8562,                 1.5765,                 0.6442,                0.53013,                0.58226,                0.26288,                 1.7999,                 1.6151,                  1.463,              0.0098614,              0.0098614,              0.0098614
                     17,                 1.9233,                 1.8256,                 1.5705,                0.63205,                0.55081,                0.59479,                0.26774,                 1.8359,                 1.5697,                 1.4885,              0.0098515,              0.0098515,              0.0098515
                     18,                 1.9211,                  1.812,                 1.5608,                0.63387,                0.54272,                0.59426,                0.26356,                 1.8191,                 1.5514,                 1.4779,              0.0098416,              0.0098416,              0.0098416
                     19,                 1.9141,                 1.7971,                 1.5581,                0.66201,                0.53228,                0.59187,                0.26198,                 1.8235,                 1.5593,                 1.4914,              0.0098317,              0.0098317,              0.0098317
                     20,                 1.9195,                 1.7762,                  1.556,                0.64959,                0.57316,                0.62139,                0.27592,                 1.8164,                 1.4984,                 1.4705,              0.0098218,              0.0098218,              0.0098218
                     21,                 1.9007,                 1.7791,                 1.5495,                 0.6388,                0.56711,                0.61709,                 0.2747,                 1.7838,                 1.5036,                 1.4508,              0.0098119,              0.0098119,              0.0098119
                     22,                 1.8938,                 1.7642,                 1.5484,                0.64876,                0.55595,                0.61428,                0.27641,                 1.7909,                 1.5021,                 1.4737,               0.009802,               0.009802,               0.009802
                     23,                 1.9032,                 1.7572,                 1.5499,                0.64152,                0.58967,                0.62239,                 0.2811,                 1.8019,                 1.5046,                  1.474,              0.0097921,              0.0097921,              0.0097921
                     24,                 1.8884,                 1.7361,                 1.5384,                0.68052,                0.57761,                0.63986,                0.30267,                  1.761,                 1.4081,                   1.45,              0.0097822,              0.0097822,              0.0097822
                     25,                 1.8807,                 1.7286,                 1.5338,                0.67203,                0.59182,                0.64045,                0.28755,                 1.8053,                 1.4558,                 1.4676,              0.0097723,              0.0097723,              0.0097723
                     26,                 1.8768,                 1.7219,                 1.5278,                0.67551,                 0.5911,                0.64347,                0.29313,                 1.7987,                  1.424,                 1.4667,              0.0097624,              0.0097624,              0.0097624
                     27,                 1.8747,                 1.7159,                 1.5258,                0.68493,                0.57963,                0.65483,                  0.298,                 1.7895,                 1.4195,                 1.4692,              0.0097525,              0.0097525,              0.0097525
                     28,                 1.8654,                 1.7049,                 1.5278,                0.67592,                0.57317,                  0.646,                0.29322,                 1.8069,                 1.4303,                  1.467,              0.0097426,              0.0097426,              0.0097426
                     29,                 1.8622,                  1.684,                 1.5188,                0.67097,                0.58967,                0.66613,                0.30017,                 1.8034,                 1.4099,                 1.4685,              0.0097327,              0.0097327,              0.0097327
                     30,                 1.8542,                 1.6778,                 1.5154,                0.66145,                0.61478,                0.66544,                0.30751,                 1.7945,                 1.3817,                 1.4598,              0.0097228,              0.0097228,              0.0097228
